variant,n,em,f1,latency_ms,exact_hits,sf_precision,sf_recall,sf_f1
agentic_full,5000,0.5322,0.6155792426003172,5642.09704542812,2661,0.0,0.0,0.0
baseline,5000,0.4314,0.5398762549072897,546.2960313905962,2157,0.0,0.0,0.0
no_decomp,5000,0.5186,0.6012788271918519,2546.2335094274954,2593,0.0,0.0,0.0
no_reranker,5000,0.5154,0.5943317027304678,5648.431834799796,2577,0.0,0.0,0.0
steps_1,5000,0.461,0.5392559839552673,5425.932502625137,2305,0.0,0.0,0.0
steps_2,5000,0.5288,0.612516898277973,5627.901187625341,2644,0.0,0.0,0.0
steps_3,5000,0.5322,0.6156290838701584,5642.540275154077,2661,0.0,0.0,0.0
dense_only,5000,0.5304,0.6185726527367921,5623.35237502493,2652,0.0,0.0,0.0
sparse_only,5000,0.5296,0.6115685738246485,5680.53795924671,2648,0.0,0.0,0.0
hybrid_only,5000,0.5502,0.634669790696871,5687.594522387721,2751,0.0,0.0,0.0
