variant,em_mean,em_ci_lo,em_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi
baseline,43.14,41.78,44.48,53.98762549072922,52.75143017006294,55.19703882380369
agentic_full,53.22,51.84,54.6,61.55792426003179,60.31998608035855,62.815855409851046
no-decomp,51.86,50.46,53.24,60.127882719185294,58.85102085822354,61.40748389079024
no-reranker,51.54,50.14,52.96,59.43317027304685,58.14880000389155,60.70411308342306
steps-1,46.1,44.7,47.48,53.925598395526755,52.6107842396622,55.19604741883891
steps-2,52.88,51.5,54.28,61.25168982779735,59.95806568667054,62.483676316171604
steps-3,53.22,51.86,54.62,61.56290838701591,60.333406626984505,62.791523968109814
dense-only,53.04,51.66,54.42,61.8572652736793,60.586775216185195,63.10316257732332
sparse-only,52.96,51.6,54.38,61.1568573824649,59.897662367358826,62.4254752030565
hybrid-only,55.02,53.64,56.4,63.46697906968722,62.20878979181681,64.72409086984075
